Año;Trimestre;Provincia;Mbps (Media de bajada);Trimestre proximo
2021;3;Mendoza;13.365156173184467;22.23158340100516
2021;3;Misiones;30.87871831426499;38.903349250907574
2021;3;Neuquén;38.34222315428742;40.092530111167584
2021;3;Río Negro;25.400065197148727;27.20317045489215
2021;3;Salta;31.209681857038827;33.940639744985226
2021;3;San Juan;7.041300820394967;11.052749308157779
2021;3;San Luis;21.69870707116376;20.90972444801464
2021;3;Santa Cruz;7.692326941812981;8.990650984477549
2021;3;Santa Fe;33.13229624738131;36.024023837275145
2021;3;Santiago Del Estero;13.352723533519553;13.84088684951507
2021;3;Tierra Del Fuego;9.52;10.696704944050465
2021;3;Tucumán;42.10118530571482;45.14812243339947
2021;2;Buenos Aires;52.75542937003713;56.25755092469591
2021;2;Capital Federal;72.74675003231476;77.71207106907312
2021;2;Catamarca;42.18506376779111;43.43333599763174
2021;2;Chaco;37.396909596222066;39.113135809207584
2021;2;Chubut;7.67690621713348;8.176860363136605
2021;2;Córdoba;39.59011648994794;41.92778724566202
2021;2;Corrientes;30.368054802005656;32.16890082785829
2021;2;Entre Ríos;27.61897306203556;29.60123187949277
2021;2;Formosa;23.96630452806761;26.689426784946654
2021;2;Jujuy;25.812477856862227;25.980702520297545
2021;2;La Pampa;12.27922373804818;12.99161507240359
2021;2;La Rioja;38.534894383007746;38.86795185445044
2021;2;Mendoza;13.465987205003026;13.365156173184467
2021;2;Misiones;28.682221735396933;30.87871831426499
2021;2;Neuquén;36.10972145846688;38.34222315428742
2021;2;Río Negro;23.748446681442676;25.400065197148727
2021;2;Salta;29.239354220742428;31.209681857038827
2021;2;San Juan;6.993162601626016;7.041300820394967
2021;2;San Luis;21.66188998963924;21.69870707116376
2021;2;Santa Cruz;7.629667005202396;7.692326941812981
2021;2;Santa Fe;30.7018831645519;33.13229624738131
2021;2;Santiago Del Estero;12.718797838683303;13.352723533519553
2021;2;Tierra Del Fuego;8.591921426483484;9.52
2021;2;Tucumán;40.30992032851357;42.10118530571482
2021;1;Buenos Aires;50.78565608506508;52.75542937003713
2021;1;Capital Federal;68.29026886796898;72.74675003231476
2021;1;Catamarca;39.96652623965282;42.18506376779111
2021;1;Chaco;33.6262012999863;37.396909596222066
2021;1;Chubut;7.531527409144197;7.67690621713348
2021;1;Córdoba;36.168799328437636;39.59011648994794
2021;1;Corrientes;25.985171359720066;30.368054802005656
2021;1;Entre Ríos;23.871334373183572;27.61897306203556
2021;1;Formosa;20.980327506975218;23.96630452806761
2021;1;Jujuy;26.777362312404005;25.812477856862227
2021;1;La Pampa;10.728511929531797;12.27922373804818
2021;1;La Rioja;12.697554732181876;38.534894383007746
2021;1;Mendoza;12.599361245254226;13.465987205003026
2021;1;Misiones;25.076826126081443;28.682221735396933
2021;1;Neuquén;34.23850264753642;36.10972145846688
2021;1;Río Negro;21.923906760830956;23.748446681442676
2021;1;Salta;27.31884069404982;29.239354220742428
2021;1;San Juan;6.910089995382067;6.993162601626016
2021;1;San Luis;21.594379804710776;21.66188998963924
2021;1;Santa Cruz;7.501531847531764;7.629667005202396
2021;1;Santa Fe;28.130630073152936;30.7018831645519
2021;1;Santiago Del Estero;11.584174516498134;12.718797838683303
2021;1;Tierra Del Fuego;8.734752396277898;8.591921426483484
2021;1;Tucumán;37.97961958190828;40.30992032851357
2020;4;Buenos Aires;50.008380839635755;50.78565608506508
2020;4;Capital Federal;67.32513676879374;68.29026886796898
2020;4;Catamarca;37.6500877273544;39.96652623965282
2020;4;Chaco;32.45204676418101;33.6262012999863
2020;4;Chubut;7.383087626414736;7.531527409144197
2020;4;Córdoba;35.120601241883946;36.168799328437636
2020;4;Corrientes;25.446700896630592;25.985171359720066
2020;4;Entre Ríos;24.05327825306045;23.871334373183572
2020;4;Formosa;19.6983490087788;20.980327506975218
2020;4;Jujuy;25.20639328416149;26.777362312404005
2020;4;La Pampa;9.875605170860927;10.728511929531797
2020;4;La Rioja;12.534655980598345;12.697554732181876
2020;4;Mendoza;11.093171319457166;12.599361245254226
2020;4;Misiones;24.956617779680364;25.076826126081443
2020;4;Neuquén;33.90786486677393;34.23850264753642
2020;4;Río Negro;21.636719189849995;21.923906760830956
2020;4;Salta;25.322439650744734;27.31884069404982
2020;4;San Juan;6.412867397953183;6.910089995382067
2020;4;San Luis;21.252954082189127;21.594379804710776
2020;4;Santa Cruz;7.492108628119051;7.501531847531764
2020;4;Santa Fe;27.294352446215623;28.130630073152936
2020;4;Santiago Del Estero;11.280765527511996;11.584174516498134
2020;4;Tierra Del Fuego;8.486806949337868;8.734752396277898
2020;4;Tucumán;36.442246829152964;37.97961958190828
2020;3;Buenos Aires;48.37662390811511;50.008380839635755
